,Year,Enrolling District Number,Enrolling District Type,Enrolling District,Count of Open Enrolled,Resident District Number,Resident District Type,Resident District
2417,23-24,544.0,1.0,Fergus Falls Public School District,2.0,332.0,1.0,Mora Public School District
2418,23-24,544.0,1.0,Fergus Falls Public School District,1.0,333.0,1.0,Ogilvie Public School District
2419,23-24,544.0,1.0,Fergus Falls Public School District,3.0,347.0,1.0,Willmar Public School District
2420,23-24,544.0,1.0,Fergus Falls Public School District,1.0,361.0,1.0,International Falls School District
2421,23-24,544.0,1.0,Fergus Falls Public School District,2.0,363.0,1.0,South Koochiching School District
2422,23-24,544.0,1.0,Fergus Falls Public School District,4.0,381.0,1.0,Lake Superior Public School District
2423,23-24,544.0,1.0,Fergus Falls Public School District,1.0,414.0,1.0,Minneota Public School District
2424,23-24,544.0,1.0,Fergus Falls Public School District,1.0,423.0,1.0,Hutchinson Public School District
2425,23-24,544.0,1.0,Fergus Falls Public School District,2.0,466.0,1.0,Dassel-Cokato Public School District
2426,23-24,544.0,1.0,Fergus Falls Public School District,3.0,477.0,1.0,Princeton Public School District
2427,23-24,544.0,1.0,Fergus Falls Public School District,1.0,482.0,1.0,Little Falls Community Schools
2428,23-24,544.0,1.0,Fergus Falls Public School District,1.0,492.0,1.0,Austin Public School District
2429,23-24,544.0,1.0,Fergus Falls Public School District,1.0,508.0,1.0,St. Peter Public School District
2430,23-24,544.0,1.0,Fergus Falls Public School District,2.0,518.0,1.0,Worthington Public School District
2431,23-24,544.0,1.0,Fergus Falls Public School District,2.0,534.0,1.0,Stewartville Public School District
2432,23-24,544.0,1.0,Fergus Falls Public School District,12.0,535.0,1.0,Rochester Public School District
2433,23-24,544.0,1.0,Fergus Falls Public School District,11.0,542.0,1.0,Battle Lake Public School District
2434,23-24,544.0,1.0,Fergus Falls Public School District,8.0,545.0,1.0,Henning Public School District
2435,23-24,544.0,1.0,Fergus Falls Public School District,40.0,548.0,1.0,Pelican Rapids Public School District
2436,23-24,544.0,1.0,Fergus Falls Public School District,5.0,549.0,1.0,Perham-Dent Public School District
2437,23-24,544.0,1.0,Fergus Falls Public School District,43.0,550.0,1.0,Underwood Public School District
2438,23-24,544.0,1.0,Fergus Falls Public School District,1.0,553.0,1.0,New York Mills Public School District
2439,23-24,544.0,1.0,Fergus Falls Public School District,3.0,564.0,1.0,Thief River Falls School District
2440,23-24,544.0,1.0,Fergus Falls Public School District,1.0,577.0,1.0,Willow River Public School District
2441,23-24,544.0,1.0,Fergus Falls Public School District,1.0,593.0,1.0,Crookston Public School District
2442,23-24,544.0,1.0,Fergus Falls Public School District,1.0,595.0,1.0,East Grand Forks Public Schools
2443,23-24,544.0,1.0,Fergus Falls Public School District,2.0,600.0,1.0,Fisher Public School District
2444,23-24,544.0,1.0,Fergus Falls Public School District,1.0,621.0,1.0,Mounds View Public School District
2445,23-24,544.0,1.0,Fergus Falls Public School District,5.0,622.0,1.0,North St. Paul-Maplewood Oakdale Public School District
2446,23-24,544.0,1.0,Fergus Falls Public School District,6.0,623.0,1.0,Roseville Public School District
2447,23-24,544.0,1.0,Fergus Falls Public School District,2.0,624.0,1.0,White Bear Lake School District
2448,23-24,544.0,1.0,Fergus Falls Public School District,9.0,625.0,1.0,Saint Paul Public Schools
2449,23-24,544.0,1.0,Fergus Falls Public School District,6.0,656.0,1.0,Faribault Public School District
2450,23-24,544.0,1.0,Fergus Falls Public School District,5.0,659.0,1.0,Northfield Public School District
